問題番号,問題,解答
162,憲法第55条は、両議院が各々その議員の資格に関する争訟を裁判すると定めていますが、裁判所の審査は及びますか？,いいえ、裁判所の審査は及ばないというのが通説です。
163,憲法第57条第1項は、両議院の会議は公開とすると定めていますが、その公開の意義には傍聴の自由や報道の自由が含まれますか？,はい、含まれます。
164,憲法第58条第2項は、両議院が各々その規則を定め、院内の秩序を乱した議員を懲罰できると定めていますが、議員を除名するには出席議員の3分の2以上の多数による議決が必要ですか？,はい、必要です。
165,憲法第62条は、両議院が各々国政に関する調査を行い、これに関して、証人の出頭及び証言並びに記録の提出を要求することができると定めていますが、この「証人」には公務員のみならず私人も含まれますか？,はい、公務員と私人双方が含まれます。
166,国政調査権の法的性質について、議院に与えられた権能を実効的に行使するために認められた補助的な権能であるとする説は何ですか？,補助的権能説です。
167,国政調査権の限界として、司法権の独立を侵害するような行使はできないとされていますか？,はい、できないとされています。
168,憲法第65条は「行政権は、内閣に属する」と定めていますが、行政各部への指揮監督権は内閣にありますか？,はい、内閣にあります。
169,憲法第66条第2項は「内閣総理大臣その他の国務大臣は、文民でなければならない」と定めていますが、この規定は何と呼ばれますか？,文民条項と呼ばれます。
170,憲法第66条第3項が定める「内閣は、行政権の行使について、国会に対し連帯して責任を負う」という規定は、どのような制度の根拠とされていますか？,議院内閣制の根拠とされています。
171,内閣が衆議院で不信任の決議案を可決された場合、総辞職を避けるために内閣が取りうる手段は何ですか？,10日以内に衆議院が解散されない限り、総辞職をしなければなりません。
172,憲法第72条に規定される内閣総理大臣の権能の一つとして、「行政各部を指揮監督する」権限がありますが、この権限の行使について、ロッキード事件判決はどのような見解を示しましたか？,内閣総理大臣は、閣議決定がない場合でも、内閣の明示の意思に反しない限り、行政各部に対し、随時、指導、助言等の指示を与える権限を有するとしました。
173,憲法第73条第3号は、内閣が条約を締結することについて、事前にまたは時宜によっては事後に国会の承認を経ることを必要と定めていますが、国会は条約の修正権も有しますか？,政府見解では条約修正権はないとされています。
174,憲法第75条は、国務大臣は在任中、内閣総理大臣の同意がなければ訴追されないと定めていますが、これにより訴追の権利は害されますか？,いいえ、害されません。
175,司法権の範囲として、「具体的な争訟」に限定されるため、抽象的に法令の効力を争う訴えは認められませんか？,いいえ、認められません。
176,司法権の限界の一つである「統治行為」について、苫米地事件判決は衆議院解散の効力は裁判所の審査権の外にあると判断しましたか？,はい、判断しました。
177,砂川事件判決において、最高裁は日米安全保障条約の合憲性に関する法的判断は、「純司法的機能をその使命とする司法裁判所の審査には原則としてなじまない性質のものである」とし、一見極めて明白に違憲無効であると認められない限り、裁判所の司法審査権の範囲外であると判断しましたか？,はい、判断しました98。
178,憲法第76条第2項は「特別裁判所は、これを設置することができない」と定めていますが、弾劾裁判所はこの例外に当たりますか？,はい、当たります。
179,憲法第76条第3項は「すべて裁判官は、その良心に従い独立してその職権を行い、この憲法及び法律にのみ拘束される」と定めていますが、これは裁判員裁判を合憲とする根拠の一つとされますか？,はい、されます。
180,最高裁判所の裁判官の罷免事由には、「裁判による心身の故障」「公の弾劾」のほかに、どのような制度がありますか？,国民審査があります。
181,憲法第81条は、最高裁判所が「一切の法律、命令、規則又は処分が憲法に適合するかしないかを決定する権限を有する終審裁判所である」と定めていますが、この「処分」には裁判所の判決も含まれますか？,はい、含まれます。
182,憲法第82条は「裁判の対審及び判決は、公開法廷でこれを行う」と定めていますが、この「公開」の趣旨は、裁判所の裁判に対する国民の信頼を確保することであると判例は示していますか？,はい、示しています。
183,憲法第81条に挙げられている「法律、命令、規則又は処分」に「条約」は含まれていませんが、最高裁は条約についても違憲審査の対象となり得るとの見解をとっていますか？,はい、条約が違憲審査の対象となること自体は肯定していると理解できます。
184,憲法第84条は「あらたに租税を課し、又は現行の租税を変更するには、法律又は法律の定める条件によることを必要とする」と定めていますが、これはどのような原則と呼ばれますか？,租税法律主義です。
185,憲法第89条は「公金その他の公の財産は、宗教上の組織若しくは団体の使用、便益若しくは維持のため、又は公の支配に属しない慈善、教育若しくは博愛の事業に対し、これを支出 し、又はその利用に供してはならない」と定めていますが、この「公の支配」について、私的な教育団体等の自主性を確保するため公権力の介入を排除することを目的とする説は何ですか？,自主性確保説です。
186,憲法第89条の「公の支配に属しない慈善、教育若しくは博愛の事業」の規定について、公費が濫用されるのを防止する目的とする説は何ですか？,公費濫用防止説です。
187,予算の法的性格について、予算は法律とは別個の法形式であるが法的拘束力を持つとする、最も広く承認されている説は何ですか？,予算法形式説（予算法規範説）です。
188,憲法第92条に規定される「地方自治の本旨」は、住民が自らの意思に基づいて地方自治を行うという「住民自治」と、国から独立した団体として自らの意思と責任で行うという「団体自治」を意味しますか？,はい、意味します。
189,地方公共団体そのものの廃止や、地方議会を諮問機関とすることは、地方自治の本旨に反し許されませんか？,はい、反し許されません。
190,憲法第94条は、地方公共団体が「法律の範囲内」で条例を制定できると定めていますが、この「法律の範囲内」について、徳島市公安条例事件判決は、国の法令と条例の間に矛盾抵触があるかどうかを判断する際に、両者の対象事項と規定文言を対比するだけでなく、それぞれの趣旨、目的、内容及び効果を比較するとしましたか？,はい、そのようにしました。
191,憲法第95条は、特定の地方公共団体のみに適用される特別法を制定する場合、その地方公共団体の住民の投票において過半数の同意を得なければならないと定めていますか？,はい、定めています。
192,憲法第96条第1項は、憲法改正の発議には各議院の総議員の3分の2以上の賛成が必要と定めていますが、国民投票における承認には、その過半数の賛成が必要とされていますが、これは有効投票総数の過半数と定められていますか？,はい、有効投票総数の過半数と定められています。
193,憲法改正の限界に関する学説で、憲法制定時の規範価値で将来世代を拘束するのは不当であり、改正できない部分とできる部分のように憲法に価値序列や階層性を認めるべきではないと主張する説は何ですか？,無限界説です。
194,憲法改正の限界に関する学説で、国民主権や人権の根本規範性、前文の趣旨から、基本原理を改正することは廃止と制定と考えることになり許されないと主張する説は何ですか？,限界説です。
195,政府による権力によって立憲主義秩序が破壊された場合に国民がそれに反抗する権利を何といいますか？,抵抗権です。
196,戦争・内乱・恐慌・大規模な自然災害など、平時の統治機構では対処できない非常事態において、国家の存立を維持するために、国家権力が立憲的な憲法秩序を一時停止して非常措置をとる権限を何といいますか？,国家緊急権です。
197,憲法第97条は、基本的人権が「人類の多年にわたる自由獲得の努力の成果であって、これらの権利は、過去幾多の試錬に堪へ、現在及び将来の国民に対し、侵すことのできない永久の権利として信託されたものである」と定めていますが、これは憲法の最高法規性の実質的根拠となりますか？,はい、なります。
198,憲法第98条第1項は「この憲法は、国の最高法規であって、その条規に反する法律、命令、詔勅及び国務に関するその他の行為の全部又は一部は、その効力を有しない」と定めていますが、「条約」は違憲審査の対象として明示されていますか？,いいえ、明示されていません。
199,憲法第98条第2項は「日本国が締結した条約及び確立された国際法規は、これを誠実に遵守することを必要とする」と定めていますが、これはどのような原則を表していますか？,国際協調主義や条約の遵守義務を表しています。
200,憲法第99条は、天皇または摂政、国務大臣、国会議員、裁判官その他の公務員が負う義務として何と定めていますか？,この憲法を尊重し擁護する義務を負うと定めています。
